ORDEN, LLAVEHOG, ESTADOCIVIL
3,60032831,5
4,60032911,4
2,60033211,4
1,60033221,5
3,60033221,5
1,60033351,4
1,60033461,4
1,60033471,4
1,60033551,3
5,60033561,4
1,60033611,4
5,60033631,4
1,60033651,4
1,60033671,4
2,60033731,5
1,60033741,3
1,60033781,4
8,60033821,4
1,60033921,3
2,60033951,4
1,60033971,4
3,60034001,4
1,60034011,4
1,60034021,4
1,60034171,4
3,60034401,5
3,60034461,4
1,60034521,4
3,60034541,4
4,60034551,5
4,60034611,4
1,60034691,4
1,60034751,5
1,60034791,4
1,60034801,4
1,60034891,4
1,60035001,4
1,60035141,5
4,60035191,4
1,60035261,4
2,60035271,4
1,60035361,4
3,60035361,5
4,60035451,5
1,60035481,4
13,60035721,5
2,60035821,5
1,60035991,5
6,60036171,4
9,60036171,4
4,60036261,4
1,60036501,5
1,60036631,4
1,60036711,4
2,60036711,4
1,60036771,4
1,60036851,5
1,60036961,4
5,60037031,4
4,60037061,4
1,60037121,5
2,60037181,4
2,60037311,4
4,60037321,4
8,60037321,4
1,60037471,4
1,60037491,4
2,60037491,4
9,60037571,4
3,60037651,3
5,60037651,4
1,60037662,4
6,60037801,4
9,60037801,4
1,60037951,4
1,60038001,4
7,60038141,4
1,60038321,4
1,60038331,4
1,60038411,4
3,60038571,4
4,60038601,4
1,60038711,4
1,60038771,3
5,60038811,4
6,60038901,4
1,60038991,3
3,60038991,4
9,60038991,4
2,60039051,4
1,60039071,4
2,60039091,4
1,60039101,4
1,60039111,4
4,60039161,3
1,60039301,4
1,60039351,4
8,60039391,5
1,60039401,4
1,60039631,4
1,60039651,4
1,60039671,4
1,60039751,4
1,60039811,3
3,60039941,5
1,60040111,5
1,60040151,3
1,60040191,4
1,60040201,4
1,60040281,5
3,60040291,5
1,60040381,4
1,60040721,5
2,60040991,5
2,60041191,4
1,60041261,5
1,60041331,4
1,60041511,3
1,60041571,3
3,60041571,4
1,60041651,4
1,60041663,4
1,60041671,5
2,60041711,4
1,60041751,3
2,60041781,3
1,60041811,4
1,60041891,4
4,60041931,5
3,60042051,5
1,60042061,5
1,60042141,3
1,60042221,5
1,60042441,5
3,60042501,5
3,60042691,5
1,60042741,4
1,60042771,5
1,60042781,4
1,60042841,3
1,60042951,3
3,60042951,5
1,60042971,4
1,60043111,3
1,60043141,4
1,60043181,3
3,60043181,4
1,60043271,4
1,60043291,3
3,60043301,4
1,60043331,4
1,60043431,4
1,60043541,4
1,60043561,4
2,60043651,4
1,60043681,4
1,60043691,3
1,60043781,4
1,60043881,4
3,60043881,4
1,60043941,4
2,60043991,4
1,60044001,4
2,60044001,5
1,60044021,4
1,60044031,5
2,60044071,4
1,60044091,4
2,60044151,4
1,60044161,4
4,60044241,5
1,60044391,4
1,60044411,5
1,60044561,4
1,60044651,3
1,60044861,4
1,60044941,3
1,60044991,4
1,60045011,5
1,60045091,5
1,60045111,3
1,60045131,4
5,60045231,4
1,60045241,5
1,60045251,4
1,60045252,4
1,60045281,3
1,60045291,4
1,60045361,4
5,60045371,4
1,60045431,4
1,60045451,4
1,60045461,4
1,60045561,5
2,60045561,5
1,60045701,4
5,60045791,3
1,60045821,4
3,60045841,4
2,60045881,4
1,60045911,4
1,60045921,4
2,60045921,5
2,60045941,4
4,60045951,4
1,60046121,4
1,60046411,4
2,60046431,4
4,60046431,4
1,60046441,4
1,60046481,4
2,60046611,4
1,60046681,5
2,60046701,5
2,60046741,4
1,60046751,4
1,60046761,4
1,60046791,5
2,60046861,4
1,60046901,5
1,60046941,4
1,60046961,4
3,60046991,5
1,60047031,3
2,60047031,5
4,60047041,4
1,60047091,4
2,60047131,5
1,60047141,4
