idf,id,sexo, parentescoJefe,conyugue,conyugueNo,padre,padreNo,madre,madreNo
60067681,4,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60067681,3,1,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60067701,1,2,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,3,1.79769313486232e+308
60067701,2,1,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60067701,3,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60067701,4,1,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60067941,1,1,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,1,2
60067941,4,2,7,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,1,2
60067941,5,1,9,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,4
60067941,2,2,5,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,3,1.79769313486232e+308
60067941,3,2,7,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,1,2
60067981,2,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60067981,1,2,1,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
60068171,1,2,1,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
60068171,2,1,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60068261,2,1,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60068261,1,2,1,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
60068311,1,2,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,3,1.79769313486232e+308
60068311,3,1,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,2
60068311,2,2,3,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,1,1
60068381,3,2,4,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,1,2
60068381,4,1,4,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,1,2
60068381,2,2,3,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,1,1
60068381,1,2,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,3,1.79769313486232e+308
60068391,2,2,2,1,1,3,1.79769313486232e+308,3,1.79769313486232e+308
60068391,1,1,1,1,2,3,1.79769313486232e+308,3,1.79769313486232e+308
60068391,4,2,3,1.79769313486232e+308,1.79769313486232e+308,1,1,1,2
60068391,3,1,3,1.79769313486232e+308,1.79769313486232e+308,1,1,1,2
60068391,6,2,3,1.79769313486232e+308,1.79769313486232e+308,1,1,1,2
60068391,5,1,3,1.79769313486232e+308,1.79769313486232e+308,1,1,1,2
60068391,7,1,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,6
60068411,2,1,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60068411,1,2,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,3,1.79769313486232e+308
60068421,2,2,3,1.79769313486232e+308,1.79769313486232e+308,1,1,2,1.79769313486232e+308
60068421,3,1,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,2
60068421,1,1,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,3,1.79769313486232e+308
60068671,3,2,14,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
60068671,1,2,1,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
60068671,2,1,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60068721,2,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
60068721,3,1,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,2
60068721,1,2,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,3,1.79769313486232e+308
60068731,2,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60068731,1,2,1,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
60068741,1,2,1,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
60068741,2,1,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60068761,1,2,1,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
60068761,2,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60068871,1,2,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,2,1.79769313486232e+308
60068871,2,1,7,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,2,1.79769313486232e+308
60068871,3,2,7,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,2,1.79769313486232e+308
60068871,4,1,9,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,3
60068891,4,2,5,1,3,3,1.79769313486232e+308,3,1.79769313486232e+308
60068891,1,2,1,1.79769313486232e+308,1.79769313486232e+308,1,3,1,4
60068891,2,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60068891,3,1,5,1,4,3,1.79769313486232e+308,3,1.79769313486232e+308
60068941,5,2,14,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,4
60068941,3,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60068941,2,1,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60068941,1,2,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,2,1.79769313486232e+308
60068941,4,2,14,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
60068941,5,2,14,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,4
60068941,3,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60068941,2,1,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60068941,1,2,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,2,1.79769313486232e+308
60068941,4,2,14,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
60069031,1,1,1,1,2,2,1.79769313486232e+308,2,1.79769313486232e+308
60069031,3,2,3,1.79769313486232e+308,1.79769313486232e+308,1,1,1,2
60069031,2,2,2,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
60069031,4,2,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,3
60069041,1,2,1,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
60069041,2,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60069131,4,2,3,1.79769313486232e+308,1.79769313486232e+308,1,1,1,2
60069131,5,1,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,4
60069131,6,2,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,4
60069131,2,2,2,1,1,3,1.79769313486232e+308,2,1.79769313486232e+308
60069131,1,1,1,1,2,3,1.79769313486232e+308,3,1.79769313486232e+308
60069131,3,2,3,1.79769313486232e+308,1.79769313486232e+308,1,1,1,2
60069221,2,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60069221,1,2,1,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
60069371,2,1,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60069371,1,2,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,3,1.79769313486232e+308
60069391,1,2,1,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
60069391,2,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60069472,2,2,3,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,1,1
60069472,4,1,3,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,1,1
60069472,3,1,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,2
60069472,1,2,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,3,1.79769313486232e+308
60069551,1,2,1,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
60069551,2,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60069561,1,2,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,1,4
60069561,4,2,5,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,3,1.79769313486232e+308
60069561,3,1,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60069561,2,1,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60069781,3,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60069781,2,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60069781,1,2,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,3,1.79769313486232e+308
60069841,4,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60069841,1,2,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,3,1.79769313486232e+308
60069841,2,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60069841,3,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60069911,5,1,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,4
60069911,6,2,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,4
60069911,8,1,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,4
60069911,1,1,1,1,2,2,1.79769313486232e+308,2,1.79769313486232e+308
60069911,3,1,3,1.79769313486232e+308,1.79769313486232e+308,1,1,1,2
60069911,4,2,3,1.79769313486232e+308,1.79769313486232e+308,1,1,1,2
60069911,7,1,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,4
60069911,2,2,2,1,1,2,1.79769313486232e+308,3,1.79769313486232e+308
60069991,9,2,4,1.79769313486232e+308,1.79769313486232e+308,1,7,1,8
60069991,8,2,8,1,7,2,1.79769313486232e+308,2,1.79769313486232e+308
60069991,5,1,8,1,4,2,1.79769313486232e+308,2,1.79769313486232e+308
60069991,7,1,3,1,8,3,1.79769313486232e+308,1,1
60069991,2,1,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
60069991,1,2,1,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308
60069991,3,1,3,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,1,1
60069991,6,1,4,1.79769313486232e+308,1.79769313486232e+308,1,5,1,4
60069991,4,2,3,1,5,3,1.79769313486232e+308,1,1
60070011,7,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60070011,1,2,1,1,2,3,1.79769313486232e+308,3,1.79769313486232e+308
60070011,4,1,3,1.79769313486232e+308,1.79769313486232e+308,1,2,1,1
60070011,8,1,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,7
60070011,2,1,2,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
60070011,6,1,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,5
60070011,5,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60070011,3,1,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60070011,7,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60070011,1,2,1,1,2,3,1.79769313486232e+308,3,1.79769313486232e+308
60070011,4,1,3,1.79769313486232e+308,1.79769313486232e+308,1,2,1,1
60070011,8,1,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,7
60070011,2,1,2,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
60070011,6,1,4,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,5
60070011,5,2,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60070011,3,1,3,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1,1
60070031,1,2,1,1.79769313486232e+308,1.79769313486232e+308,3,1.79769313486232e+308,2,1.79769313486232e+308
