"ORDEN","P6020","P6051","P5502","P6071","P6071S1","P6081","P6081S1","P6083","P6083S1","LLAVEHOG"
2,1,3,5,0,0,2,0,1,1,"60000621"
1,1,1,6,1,2,2,0,2,0,"60000631"
2,2,2,6,1,1,2,0,2,0,"60000631"
3,1,3,0,0,0,1,1,1,2,"60000631"
1,1,1,2,1,2,2,0,3,0,"60000641"
2,2,2,2,1,1,2,0,2,0,"60000641"
3,2,3,5,0,0,1,1,1,2,"60000641"
4,1,3,0,0,0,1,1,1,2,"60000641"
1,1,1,6,1,2,3,0,2,0,"60000651"
2,2,2,6,1,1,2,0,2,0,"60000651"
3,1,3,0,0,0,1,1,1,2,"60000651"
4,2,3,0,0,0,1,1,1,2,"60000651"
1,2,1,3,0,0,3,0,3,0,"60000661"
2,2,3,5,0,0,3,0,1,1,"60000661"
3,2,4,5,0,0,2,0,2,0,"60000661"
1,1,1,6,1,2,3,0,2,0,"60000671"
2,2,2,6,1,1,2,0,2,0,"60000671"
1,1,1,6,1,2,3,0,2,0,"60000681"
2,2,2,6,1,1,2,0,3,0,"60000681"
1,1,1,2,1,2,3,0,3,0,"60000691"
2,2,2,2,1,1,2,0,2,0,"60000691"
3,2,3,5,0,0,1,1,1,2,"60000691"
4,1,3,5,0,0,1,1,1,2,"60000691"
5,2,3,0,0,0,1,1,1,2,"60000691"
1,1,1,5,0,0,3,0,2,0,"60000701"
2,1,14,5,0,0,3,0,2,0,"60000701"
3,1,14,2,2,0,2,0,2,0,"60000701"
1,2,1,4,0,0,3,0,3,0,"60000711"
2,1,3,5,0,0,2,0,1,1,"60000711"
3,2,3,4,0,0,2,0,1,1,"60000711"
4,2,4,5,0,0,2,0,1,3,"60000711"
5,1,4,0,0,0,2,0,1,3,"60000711"
6,1,4,0,0,0,2,0,1,3,"60000711"
7,2,3,2,2,0,2,0,1,1,"60000711"
8,2,4,0,0,0,2,0,1,7,"60000711"
1,2,1,3,0,0,3,0,3,0,"60000721"
1,2,1,5,0,0,3,0,2,0,"60000731"
2,1,3,5,0,0,2,0,1,1,"60000731"
1,2,1,5,0,0,2,0,2,0,"60000741"
2,2,3,5,0,0,2,0,1,1,"60000741"
3,2,3,0,0,0,2,0,1,1,"60000741"
1,1,1,6,1,2,2,0,3,0,"60000751"
2,2,2,6,1,1,3,0,2,0,"60000751"
